Title,Cluster,,Possible Cluster Values
senior account executive,Other,,
product manager marketing,Marketing,,
senior vice president/director marketing,Marketing,,
"director, marketing and public relations",Marketing,,
marketing service manager,Marketing,,
"director, marketing, north america",Marketing,,
"director, strategic accounts",Other,,
senior financial and operations business analyst,Data Analytics,,
air import coordinator,Other,,
senior business system analyst,Data Analytics,,
retailer success manager,Other,,
fundraising and communications compliance manager,Marketing,,
chairman of the governing board,Other,,
intuition consulting,Other,,
campaign manager marketing,Marketing,,
advanced analytics,Data Analytics,,
technical trainer,Other,,
analytics project manager,Data Analytics,,
business analyst,Data Analytics,,
billing coordinator,Other,,
business analytics practice lead,Data Analytics,,
financial analyst,Data Analytics,,
fraud analyst,Data Analytics,,
manager-business intelligence,Data Analytics,,
"vice president, data analytics",Data Analytics,,
business intelligence analyst,Data Analytics,,
head of business intelligence,Data Analytics,,
head of performance and analytics,Data Analytics,,
management trainee,Other,,
mail manager,Other,,
data analyst,Data Analytics,,
"project manager, and product development, analytics",Data Analytics,,
analyst,Data Analytics,,
analytics and insight,Data Analytics,,
data protection officer,Other,,
"igital analytics, ecommerce and web consultant marketing",Marketing,,
head of marketing intelligence,Marketing,,
senior data analytics manager,Data Analytics,,
data engineer,Data Analytics,,
senior market analyst,Data Analytics,,
data and digital marketing specialist,Marketing,,
data wizard,Data Analytics,,
senior database developer,IT Engineering,,
operations analyst,Other,,
senior analyst,Data Analytics,,
privacy analyst,Data Analytics,,
digital business analyst,Marketing,,
"director, data architecture and engineering",IT Engineering,,
director analytics,Data Analytics,,
"general manager, service retail",Other,,
founder & chairman,Other,,
data analytics architect,Data Analytics,,
data protectionist,Data Analytics,,
business intelligence specialist,Data Analytics,,
analytics manager/professional,Data Analytics,,
personal trainer,Other,,
product marketing data analyst,Marketing,,
analytics manager,Data Analytics,,
data engineer & product manager,IT Engineering,,
analytics,Data Analytics,,
digital analytics lead,Marketing,,
data scientist,Data Analytics,,
manager business development-analytics,Data Analytics,,
systems analyst,IT Engineering,,
business analyst-accounts receivable management,Data Analytics,,
people analytics consultant,Data Analytics,,
senior it business analyst,Data Analytics,,
"director, data integration",Data Analytics,,
marketing analyst,Marketing,,
data visualisation analyst,Data Analytics,,
strategic intelligence analyst,Data Analytics,,
data intelligence consultant,Data Analytics,,
big data architect,Data Analytics,,
trainee,Other,,
team leader-intelligence,Other,,
supply chain and operations management consultant,Other,,
biz conultant,Other,,
research analyst,Other,,
senior media data solutions consultant. martech and adtech. product owner,Marketing,,
"director, analytics",Data Analytics,,
human resources data quality manager,Other,,
security analyst,IT Engineering,,
cybersecurity analyst,IT Engineering,,
"co-founder, women in data and managing director",Other,,
web analyst,Data Analytics,,
corporate trainer,Other,,
digital analyst,Marketing,,
solutions analyst,Other,,
technology & data analyst,Data Analytics,,
"assistant vice president, senior accountant ii, treasury analyst",Other,,
data science director,Data Analytics,,
maintaining software and hardware.,IT Engineering,,
marketing research analyst,Marketing,,
"director, marketing strategy, leadership, insights, customer experience, product marketing",Marketing,,
public affairs specialist,Other,,
"regional director, advanced analytics solutions latam",Data Analytics,,
"global executive director, head of demand generation and performance analytics",Marketing,,
"senior manager, insights and strategies",Data Analytics,,
finance data analyst,Data Analytics,,
it analyst,IT Engineering,,
senior data analytics,Data Analytics,,
supply chain manager,Other,,
"director, database marketing",Marketing,,
data coordinator,Data Analytics,,
consumer and market analyst,Marketing,,
hris information analyst,Data Analytics,,
crm manager,Other,,
"senior vice president, information technology",IT Engineering,,
"vice president, it operations-canada",IT Engineering,,
"vice president, technology transformation architecture",IT Engineering,,
"senior director, technology",IT Engineering,,
head of architecture and platform development,IT Engineering,,
"director, it and business transformation",IT Engineering,,
"gm, platforms, technology, new business, alt media sdn bhd",IT Engineering,,
user experience lead,Other,,
it program manager,IT Engineering,,
"vice president, strategy, innovations, and it",IT Engineering,,
product director,Other,,
vpe meios-tecnologia da informação,IT Engineering,,
solution architect,IT Engineering,,
"senior vice president, chief strategy and integration officer",Other,,
"chief technical officer, chief operations officer, chief information officer gravity payments",IT Engineering,,
"director, experimentation",Other,,
technical architect,IT Engineering,,
crm broadcast executive,Other,,
"vice president, information technology",IT Engineering,,
"chief technologist, systems and technology",IT Engineering,,
"director, product management, e-commerce",Other,,
director product management,Other,,
web specialist,IT Engineering,,
chief information officer financial services,IT Engineering,,
head of ad technology,IT Engineering,,
head of contact centre online business and support,IT Engineering,,
ad technology manager,IT Engineering,,
"senior manager, application development",IT Engineering,,
information technology project manager,IT Engineering,,
automation services (information technology) manager,IT Engineering,,
it service delivery manager,IT Engineering,,
information technology asset manager,IT Engineering,,
senior treasury information technology specialist,IT Engineering,,
it infrastructure manager,IT Engineering,,
enterprise director sales-mexico,Other,,
manager enterprise architecture,IT Engineering,,
chief technology officer (chief technical officer),IT Engineering,,
"director, information technology entprz bus intel",IT Engineering,,
senior website and technical support officer,IT Engineering,,
business process and systems manager,IT Engineering,,
tiq technical deployment lead,IT Engineering,,
group it manager,IT Engineering,,
business features writer,Other,,
"senior director, business channel strategy",Other,,
senior solution architect,IT Engineering,,
"vice president, revenue and technology",IT Engineering,,
"senior software engineering manager-devops, application architect",IT Engineering,,
it systems and client services specialist,IT Engineering,,
director it infrastructure,IT Engineering,,
"assistant director, web development",IT Engineering,,
webmaster,IT Engineering,,
managing director-indonesia,Other,,
head of it operations,IT Engineering,,
director it engineering & operations,IT Engineering,,
general manager information technology,IT Engineering,,
it facilities manager,Other,,
co-founder and chief technical officer,IT Engineering,,
information technology infrastructure and project manager,IT Engineering,,
head of it,IT Engineering,,
information technology infrastructure manager,IT Engineering,,
information technology programme manager,IT Engineering,,
"director, product strategy",Marketing,,
managing director-nike brazil,Other,,
senior it coord.,IT Engineering,,
assistant to chief information officer,IT Engineering,,
communications manager-technology programme,Marketing,,
information technology manager development,IT Engineering,,
principal architect - enterprise and strategy,IT Engineering,,
"director | customer experience + innovation, respiratory",Other,,
public sector manager,Other,,
"applications manager, it",IT Engineering,,
head of information technology,IT Engineering,,
nformation technology manager operations,IT Engineering,,
chief executive officer and managing director,Other,,
business director uk,Other,,
senior ux manager,Other,,
"vice president, technology support services",IT Engineering,,
"team lead, integrations",IT Engineering,,
director ampm and arco,Other,,
"go-to-market senior manager, product marketing",Marketing,,
"applications vice president, information technology",IT Engineering,,
"director, product, medsavvy",Other,,
"technology delivery manager, medsavvy",IT Engineering,,
crm担当,IT Engineering,,
technology specialist,IT Engineering,,
nformation technology specialist,IT Engineering,,
technology specialist-business machines,IT Engineering,,
information technology procurement,IT Engineering,,
sector director,Other,,
"senior vice president, information technology manager",IT Engineering,,
media director,Marketing,,
executive editor,Other,,
host service quality consultant,Other,,
head application service center,Other,,
head of it programmes,IT Engineering,,
it governance coordinator,IT Engineering,,
"director, product management",Other,,
client service director,Other,,
general manager-technology,IT Engineering,,
senior manager-transformation change execution,Other,,
quality management specialist,Other,,
tracking and tag manager consultant,Marketing,,
president,Other,,
editor,Other,,
senior sme,Other,,
"vice president, engineering and operations",IT Engineering,,
pastor,Other,,
chief executive officer,Other,,
"senior vice president, chief experience officer",Other,,
gamer,Other,,
business transformation project manager,Other,,
portfolio manager,Other,,
referentin der geschäftsführung,Other,,
larryt40,Other,,
その他,Other,,
head of strategy and business development,Other,,
consultant fcc,Other,,
president and owner,Other,,
manager development,Other,,
senior network/systems engineer,IT Engineering,,
network technician,IT Engineering,,
general manager product longhaul,Other,,
vice president business development,Other,,
clinical director,Other,,
cro,Other,,
pm,Other,,
course leader,Other,,
none,Other,,
"director, test development",Other,,
banking consultant,Other,,
customer experience team,Other,,
staff,Other,,
head of communications,Other,,
principal-business transformation leader,Other,,
it student,IT Engineering,,
e-commerce manager operations,Other,,
senior solutions strategist/architect/advisor and pm of complex projects,Other,,
"general manager, china business-new media",Other,,
policy team leader,Other,,
"vice president, beauty",Other,,
"director, human resources",Other,,
cyber defense,IT Engineering,,
ci senior consultant,Other,,
associate vice president and chief information officer,IT Engineering,,
"director, arity, customer success",Other,,
developer,IT Engineering,,
business solutions administrator,IT Engineering,,
project manager-contract,Other,,
"j. cardosi, inc.",Other,,
"director, r",Other,,
chief experience officer,Other,,
director mkt and comm,Marketing,,
principal/partner,Other,,
"senior manager, sales",Other,,
sc,Other,,
一般社員,Other,,
"president, chief operations officer",Other,,
europe crm manager,Other,,
attorney and owner,Other,,
support,Other,,
it assistant project manager,IT Engineering,,
"vice president, is",Other,,
"director, publishing and communications",Marketing,,
web design,IT Engineering,,
コンサルティング,Other,,
"regional director, anz",Other,,
senior it administrator,IT Engineering,,
it manager,IT Engineering,,
communications manager,Marketing,,
board member,Other,,
vp,Other,,
it imports specialist,IT Engineering,,
program coordinator,Other,,
"director, product",Other,,
mrs,Other,,
md,Other,,
kyb/kyc analsyt,Other,,
it security consultant,IT Engineering,,
sales,Other,,
online manager,Other,,
bd and systems enginner manager,IT Engineering,,
chief executive officer and business consultant,Other,,
program manager/controller project manager,Other,,
"senior manager sales, direct sales",Other,,
principal/chief information officer,IT Engineering,,
group general manager,Other,,
owner vouchercompany b.v. and entrepreneur,Other,,
"principal, chief strategy officer",Other,,
chief technology officer,IT Engineering,,
senior acct. manager,Other,,
advising assistant,Other,,
vice president it,IT Engineering,,
"manager, alumni relations",Other,,
senior vice president,Other,,
it administrator,IT Engineering,,
product manager,Other,,
senior web developer,IT Engineering,,
"head, strategic communications",Marketing,,
"vice president, production",Other,,
